Date : 2023-11-05 23:03:59
Directory : c:\xampp\htdocs\EL_DORADO
Total : 2131 files,  732439 codes, 88751 comments, 103994 blanks, all 925184 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| admin\dashboard\pages\layout                                                                                                   |          7 |      4,669 |        324 |        116 |      5,109 |
| admin\dashboard\pages\mailbox                                                                                                  |          3 |      2,781 |        175 |         54 |      3,010 |
| admin\dashboard\pages\tables                                                                                                   |          3 |      3,450 |        161 |         43 |      3,654 |
| admin\dashboard\plugins                                                                                                        |      1,662 |    414,569 |     69,707 |     62,766 |    547,042 |
| admin\dashboard\plugins\bootstrap                                                                                              |          4 |      7,935 |      1,712 |      2,024 |     11,671 |
| admin\dashboard\plugins\bootstrap-colorpicker                                                                                  |          4 |      4,020 |      1,419 |      1,234 |      6,673 |
| admin\dashboard\plugins\bootstrap-colorpicker\css                                                                              |          2 |        321 |         35 |         55 |        411 |
| admin\dashboard\plugins\bootstrap-colorpicker\js                                                                               |          2 |      3,699 |      1,384 |      1,179 |      6,262 |
| admin\dashboard\plugins\bootstrap-slider                                                                                       |          4 |      1,888 |        296 |        253 |      2,437 |
| admin\dashboard\plugins\bootstrap-slider (Files)                                                                               |          2 |      1,600 |        215 |        252 |      2,067 |
| admin\dashboard\plugins\bootstrap-slider\css                                                                                   |          2 |        288 |         81 |          1 |        370 |
| admin\dashboard\plugins\bootstrap-switch                                                                                       |          6 |      1,410 |         55 |         50 |      1,515 |
| admin\dashboard\plugins\bootstrap-switch\css                                                                                   |          4 |        674 |         39 |          6 |        719 |
| admin\dashboard\plugins\bootstrap-switch\css\bootstrap2                                                                        |          2 |        495 |         23 |          3 |        521 |
| admin\dashboard\plugins\bootstrap-switch\css\bootstrap3                                                                        |          2 |        179 |         16 |          3 |        198 |
| admin\dashboard\plugins\bootstrap-switch\js                                                                                    |          2 |        736 |         16 |         44 |        796 |
| admin\dashboard\plugins\bootstrap4-duallistbox                                                                                 |          4 |        851 |         54 |         85 |        990 |
| admin\dashboard\plugins\bootstrap\js                                                                                           |          4 |      7,935 |      1,712 |      2,024 |     11,671 |
| admin\dashboard\plugins\bs-custom-file-input                                                                                   |          2 |        131 |         12 |         33 |        176 |
| admin\dashboard\plugins\chart.js                                                                                               |          6 |     26,532 |      4,922 |      5,519 |     36,973 |
| admin\dashboard\plugins\datatables                                                                                             |          2 |      6,523 |      6,993 |      1,986 |     15,502 |
| admin\dashboard\plugins\datatables-autofill                                                                                    |          6 |        856 |        299 |        228 |      1,383 |
| admin\dashboard\plugins\datatables-autofill\css                                                                                |          2 |         87 |          0 |          7 |         94 |
| admin\dashboard\plugins\datatables-autofill\js                                                                                 |          4 |        769 |        299 |        221 |      1,289 |
| admin\dashboard\plugins\datatables-bs4                                                                                         |          4 |        333 |         30 |         40 |        403 |
| admin\dashboard\plugins\datatables-bs4\css                                                                                     |          2 |        198 |          0 |         11 |        209 |
| admin\dashboard\plugins\datatables-bs4\js                                                                                      |          2 |        135 |         30 |         29 |        194 |
| admin\dashboard\plugins\datatables-buttons                                                                                     |         14 |      4,122 |        760 |        861 |      5,743 |
| admin\dashboard\plugins\datatables-buttons\css                                                                                 |          2 |        191 |          0 |          7 |        198 |
| admin\dashboard\plugins\datatables-buttons\js                                                                                  |         12 |      3,931 |        760 |        854 |      5,545 |
| admin\dashboard\plugins\datatables-colreorder                                                                                  |          6 |        864 |        482 |        235 |      1,581 |
| admin\dashboard\plugins\datatables-colreorder\css                                                                              |          2 |         11 |          0 |          3 |         14 |
| admin\dashboard\plugins\datatables-colreorder\js                                                                               |          4 |        853 |        482 |        232 |      1,567 |
| admin\dashboard\plugins\datatables-fixedcolumns                                                                                |          6 |      1,043 |        522 |        242 |      1,807 |
| admin\dashboard\plugins\datatables-fixedcolumns\css                                                                            |          2 |         60 |          0 |          7 |         67 |
| admin\dashboard\plugins\datatables-fixedcolumns\js                                                                             |          4 |        983 |        522 |        235 |      1,740 |
| admin\dashboard\plugins\datatables-fixedheader                                                                                 |          6 |        506 |        183 |        124 |        813 |
| admin\dashboard\plugins\datatables-fixedheader\css                                                                             |          2 |         18 |          0 |          5 |         23 |
| admin\dashboard\plugins\datatables-fixedheader\js                                                                              |          4 |        488 |        183 |        119 |        790 |
| admin\dashboard\plugins\datatables-keytable                                                                                    |          6 |        801 |        305 |        221 |      1,327 |
| admin\dashboard\plugins\datatables-keytable\css                                                                                |          2 |          9 |          0 |          3 |         12 |
| admin\dashboard\plugins\datatables-keytable\js                                                                                 |          4 |        792 |        305 |        218 |      1,315 |
| admin\dashboard\plugins\datatables-responsive                                                                                  |          6 |      1,088 |        391 |        222 |      1,701 |
| admin\dashboard\plugins\datatables-responsive\css                                                                              |          2 |        179 |          0 |          4 |        183 |
| admin\dashboard\plugins\datatables-responsive\js                                                                               |          4 |        909 |        391 |        218 |      1,518 |
| admin\dashboard\plugins\datatables-rowgroup                                                                                    |          6 |        302 |        155 |         96 |        553 |
| admin\dashboard\plugins\datatables-rowgroup\css                                                                                |          2 |         18 |          0 |          5 |         23 |
| admin\dashboard\plugins\datatables-rowgroup\js                                                                                 |          4 |        284 |        155 |         91 |        530 |
| admin\dashboard\plugins\datatables-rowreorder                                                                                  |          6 |        497 |        270 |        141 |        908 |
| admin\dashboard\plugins\datatables-rowreorder\css                                                                              |          2 |         20 |          0 |          5 |         25 |
| admin\dashboard\plugins\datatables-rowreorder\js                                                                               |          4 |        477 |        270 |        136 |        883 |
| admin\dashboard\plugins\datatables-scroller                                                                                    |          6 |        748 |        467 |        197 |      1,412 |
| admin\dashboard\plugins\datatables-scroller\css                                                                                |          2 |         36 |          0 |          3 |         39 |
| admin\dashboard\plugins\datatables-scroller\js                                                                                 |          4 |        712 |        467 |        194 |      1,373 |
| admin\dashboard\plugins\datatables-select                                                                                      |          6 |        908 |        277 |        213 |      1,398 |
| admin\dashboard\plugins\datatables-select\css                                                                                  |          2 |        114 |          0 |          4 |        118 |
| admin\dashboard\plugins\datatables-select\js                                                                                   |          4 |        794 |        277 |        209 |      1,280 |
| admin\dashboard\plugins\daterangepicker                                                                                        |         17 |      3,236 |        131 |        808 |      4,175 |
| admin\dashboard\plugins\daterangepicker (Files)                                                                                |          7 |      1,792 |        117 |        440 |      2,349 |
| admin\dashboard\plugins\daterangepicker\example                                                                                |          7 |        574 |          4 |        171 |        749 |
| admin\dashboard\plugins\daterangepicker\example\amd                                                                            |          3 |        303 |          4 |         83 |        390 |
| admin\dashboard\plugins\daterangepicker\example\browserify                                                                     |          4 |        271 |          0 |         88 |        359 |
| admin\dashboard\plugins\daterangepicker\website                                                                                |          3 |        870 |         10 |        197 |      1,077 |
| admin\dashboard\plugins\ekko-lightbox                                                                                          |          3 |        527 |         49 |         97 |        673 |
| admin\dashboard\plugins\fastclick                                                                                              |          1 |        400 |        277 |        165 |        842 |
| admin\dashboard\plugins\filterizr                                                                                              |         88 |        678 |        504 |         85 |      1,267 |
| admin\dashboard\plugins\filterizr (Files)                                                                                      |         20 |        250 |        303 |         17 |        570 |
| admin\dashboard\plugins\filterizr\FilterContainer                                                                              |          4 |         31 |          8 |          4 |         43 |
| admin\dashboard\plugins\filterizr\FilterItem                                                                                   |          4 |         42 |         38 |          4 |         84 |
| admin\dashboard\plugins\filterizr\FilterItems                                                                                  |          3 |         36 |          0 |          3 |         39 |
| admin\dashboard\plugins\filterizr\Filterizr                                                                                    |          3 |         34 |         43 |          3 |         80 |
| admin\dashboard\plugins\filterizr\FilterizrOptions                                                                             |          3 |         27 |          0 |          3 |         30 |
| admin\dashboard\plugins\filterizr\Spinner                                                                                      |          4 |         21 |          0 |          4 |         25 |
| admin\dashboard\plugins\filterizr\config                                                                                       |          4 |         22 |          9 |          4 |         35 |
| admin\dashboard\plugins\filterizr\layouts                                                                                      |          7 |         50 |         28 |          7 |         85 |
| admin\dashboard\plugins\filterizr\makeLayoutPositions                                                                          |          9 |         48 |         26 |          9 |         83 |
| admin\dashboard\plugins\filterizr\types                                                                                        |         14 |         90 |          0 |         14 |        104 |
| admin\dashboard\plugins\filterizr\types (Files)                                                                                |          1 |          3 |          0 |          1 |          4 |
| admin\dashboard\plugins\filterizr\types\interfaces                                                                             |         13 |         87 |          0 |         13 |        100 |
| admin\dashboard\plugins\filterizr\utils                                                                                        |         13 |         27 |         49 |         13 |         89 |
| admin\dashboard\plugins\flag-icon-css                                                                                          |        516 |     36,625 |          0 |        515 |     37,140 |
| admin\dashboard\plugins\flag-icon-css\css                                                                                      |          2 |      1,563 |          0 |          1 |      1,564 |
| admin\dashboard\plugins\flag-icon-css\flags                                                                                    |        514 |     35,062 |          0 |        514 |     35,576 |
| admin\dashboard\plugins\flag-icon-css\flags\1x1                                                                                |        257 |     17,570 |          0 |        257 |     17,827 |
| admin\dashboard\plugins\flag-icon-css\flags\4x3                                                                                |        257 |     17,492 |          0 |        257 |     17,749 |
| admin\dashboard\plugins\flot                                                                                                   |          1 |          1 |          1 |          1 |          3 |
| admin\dashboard\plugins\flot-old                                                                                               |         34 |      5,825 |      1,490 |      1,408 |      8,723 |
| admin\dashboard\plugins\fontawesome-free                                                                                       |         17 |     17,314 |         72 |      3,637 |     21,023 |
| admin\dashboard\plugins\fontawesome-free\css                                                                                   |         14 |      8,015 |         60 |      3,634 |     11,709 |
| admin\dashboard\plugins\fontawesome-free\webfonts                                                                              |          3 |      9,299 |         12 |          3 |      9,314 |
| admin\dashboard\plugins\fullcalendar                                                                                           |         75 |     22,163 |      1,672 |        747 |     24,582 |
| admin\dashboard\plugins\fullcalendar (Files)                                                                                   |          8 |     20,370 |      1,671 |        479 |     22,520 |
| admin\dashboard\plugins\fullcalendar-bootstrap                                                                                 |          6 |        145 |         61 |         26 |        232 |
| admin\dashboard\plugins\fullcalendar-daygrid                                                                                   |          6 |      3,288 |        371 |         67 |      3,726 |
| admin\dashboard\plugins\fullcalendar-interaction                                                                               |          4 |      4,111 |        450 |         64 |      4,625 |
| admin\dashboard\plugins\fullcalendar-timegrid                                                                                  |          6 |      2,798 |        447 |         88 |      3,333 |
| admin\dashboard\plugins\fullcalendar\locales                                                                                   |         67 |      1,793 |          1 |        268 |      2,062 |
| admin\dashboard\plugins\icheck-bootstrap                                                                                       |          2 |        322 |          9 |         65 |        396 |
| admin\dashboard\plugins\inputmask                                                                                              |         27 |     13,302 |        188 |        193 |     13,683 |
| admin\dashboard\plugins\inputmask (Files)                                                                                      |          5 |      9,158 |         35 |        127 |      9,320 |
| admin\dashboard\plugins\inputmask\bindings                                                                                     |          1 |         20 |          6 |          1 |         27 |
| admin\dashboard\plugins\inputmask\inputmask                                                                                    |         10 |      4,113 |         70 |         54 |      4,237 |
| admin\dashboard\plugins\inputmask\inputmask (Files)                                                                            |          5 |      3,660 |         35 |         49 |      3,744 |
| admin\dashboard\plugins\inputmask\inputmask\bindings                                                                           |          1 |         25 |          7 |          1 |         33 |
| admin\dashboard\plugins\inputmask\inputmask\dependencyLibs                                                                     |          3 |        425 |         21 |          3 |        449 |
| admin\dashboard\plugins\inputmask\inputmask\global                                                                             |          1 |          3 |          7 |          1 |         11 |
| admin\dashboard\plugins\inputmask\min                                                                                          |         11 |         11 |         77 |         11 |         99 |
| admin\dashboard\plugins\inputmask\min (Files)                                                                                  |          1 |          1 |          7 |          1 |          9 |
| admin\dashboard\plugins\inputmask\min\inputmask                                                                                |         10 |         10 |         70 |         10 |         90 |
| admin\dashboard\plugins\inputmask\min\inputmask (Files)                                                                        |          5 |          5 |         35 |          5 |         45 |
| admin\dashboard\plugins\inputmask\min\inputmask\bindings                                                                       |          1 |          1 |          7 |          1 |          9 |
| admin\dashboard\plugins\inputmask\min\inputmask\dependencyLibs                                                                 |          3 |          3 |         21 |          3 |         27 |
| admin\dashboard\plugins\inputmask\min\inputmask\global                                                                         |          1 |          1 |          7 |          1 |          9 |
| admin\dashboard\plugins\ion-rangeslider                                                                                        |         13 |      3,194 |        226 |        641 |      4,061 |
| admin\dashboard\plugins\ion-rangeslider\css                                                                                    |          2 |        671 |          5 |          1 |        677 |
| admin\dashboard\plugins\ion-rangeslider\js                                                                                     |          2 |      1,742 |        215 |        495 |      2,452 |
| admin\dashboard\plugins\ion-rangeslider\less                                                                                   |          9 |        781 |          6 |        145 |        932 |
| admin\dashboard\plugins\ion-rangeslider\less (Files)                                                                           |          3 |        147 |          2 |         26 |        175 |
| admin\dashboard\plugins\ion-rangeslider\less\skins                                                                             |          6 |        634 |          4 |        119 |        757 |
| admin\dashboard\plugins\jquery                                                                                                 |          5 |     12,471 |      3,350 |      3,680 |     19,501 |
| admin\dashboard\plugins\jquery-knob                                                                                            |          1 |          1 |          0 |          0 |          1 |
| admin\dashboard\plugins\jquery-mapael                                                                                          |         12 |      2,763 |        850 |        359 |      3,972 |
| admin\dashboard\plugins\jquery-mapael (Files)                                                                                  |          2 |      1,783 |        680 |        321 |      2,784 |
| admin\dashboard\plugins\jquery-mapael\maps                                                                                     |         10 |        980 |        170 |         38 |      1,188 |
| admin\dashboard\plugins\jquery-mousewheel                                                                                      |          1 |        145 |         44 |         33 |        222 |
| admin\dashboard\plugins\jquery-ui                                                                                              |          9 |     23,096 |      4,060 |      5,233 |     32,389 |
| admin\dashboard\plugins\jquery-ui (Files)                                                                                      |          8 |     16,018 |      2,203 |      3,159 |     21,380 |
| admin\dashboard\plugins\jquery-ui\external                                                                                     |          1 |      7,078 |      1,857 |      2,074 |     11,009 |
| admin\dashboard\plugins\jquery-ui\external\jquery                                                                              |          1 |      7,078 |      1,857 |      2,074 |     11,009 |
| admin\dashboard\plugins\jquery-validation                                                                                      |        128 |      4,106 |      1,091 |        505 |      5,702 |
| admin\dashboard\plugins\jquery-validation (Files)                                                                              |          4 |      2,082 |        648 |        440 |      3,170 |
| admin\dashboard\plugins\jquery-validation\localization                                                                         |        124 |      2,024 |        443 |         65 |      2,532 |
| admin\dashboard\plugins\jqvmap                                                                                                 |         32 |      1,171 |         52 |        253 |      1,476 |
| admin\dashboard\plugins\jqvmap (Files)                                                                                         |          4 |      1,107 |         16 |        230 |      1,353 |
| admin\dashboard\plugins\jqvmap\maps                                                                                            |         28 |         64 |         36 |         23 |        123 |
| admin\dashboard\plugins\jqvmap\maps (Files)                                                                                    |         22 |         58 |         30 |         17 |        105 |
| admin\dashboard\plugins\jqvmap\maps\continents                                                                                 |          6 |          6 |          6 |          6 |         18 |
| admin\dashboard\plugins\jsgrid                                                                                                 |         37 |      4,925 |         31 |        904 |      5,860 |
| admin\dashboard\plugins\jsgrid (Files)                                                                                         |          6 |      2,271 |         31 |        623 |      2,925 |
| admin\dashboard\plugins\jsgrid\demos                                                                                           |         18 |      2,105 |          0 |        201 |      2,306 |
| admin\dashboard\plugins\jsgrid\i18n                                                                                            |         13 |        549 |          0 |         80 |        629 |
| admin\dashboard\plugins\jszip                                                                                                  |          2 |      6,672 |      3,381 |      1,327 |     11,380 |
| admin\dashboard\plugins\moment                                                                                                 |        132 |     33,428 |        890 |      2,320 |     36,638 |
| admin\dashboard\plugins\moment (Files)                                                                                         |          5 |     22,793 |        703 |      1,452 |     24,948 |
| admin\dashboard\plugins\moment\locale                                                                                          |        127 |     10,635 |        187 |        868 |     11,690 |
| admin\dashboard\plugins\overlayScrollbars                                                                                      |          6 |      9,466 |      2,220 |      1,202 |     12,888 |
| admin\dashboard\plugins\overlayScrollbars\css                                                                                  |          2 |        595 |         36 |          7 |        638 |
| admin\dashboard\plugins\overlayScrollbars\js                                                                                   |          4 |      8,871 |      2,184 |      1,195 |     12,250 |
| admin\dashboard\plugins\pace-progress                                                                                          |        152 |     14,633 |        151 |      1,526 |     16,310 |
| admin\dashboard\plugins\pace-progress (Files)                                                                                  |          2 |        843 |          1 |        106 |        950 |
| admin\dashboard\plugins\pace-progress\themes                                                                                   |        150 |     13,790 |        150 |      1,420 |     15,360 |
| admin\dashboard\plugins\pace-progress\themes\black                                                                             |         15 |      1,379 |         15 |        142 |      1,536 |
| admin\dashboard\plugins\pace-progress\themes\blue                                                                              |         15 |      1,379 |         15 |        142 |      1,536 |
| admin\dashboard\plugins\pace-progress\themes\green                                                                             |         15 |      1,379 |         15 |        142 |      1,536 |
| admin\dashboard\plugins\pace-progress\themes\orange                                                                            |         15 |      1,379 |         15 |        142 |      1,536 |
| admin\dashboard\plugins\pace-progress\themes\pink                                                                              |         15 |      1,379 |         15 |        142 |      1,536 |
| admin\dashboard\plugins\pace-progress\themes\purple                                                                            |         15 |      1,379 |         15 |        142 |      1,536 |
| admin\dashboard\plugins\pace-progress\themes\red                                                                               |         15 |      1,379 |         15 |        142 |      1,536 |
| admin\dashboard\plugins\pace-progress\themes\silver                                                                            |         15 |      1,379 |         15 |        142 |      1,536 |
| admin\dashboard\plugins\pace-progress\themes\white                                                                             |         15 |      1,379 |         15 |        142 |      1,536 |
| admin\dashboard\plugins\pace-progress\themes\yellow                                                                            |         15 |      1,379 |         15 |        142 |      1,536 |
| admin\dashboard\plugins\pdfmake                                                                                                |          3 |     49,276 |      9,048 |     11,262 |     69,586 |
